time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-02T04:05:52.320Z,20.6101667,-156.3513333,20.46,2.81,ml,41,127,0.1764,0.14,hv,hv71363687,2020-02-05T04:39:04.040Z,"22km SSW of Keokea, Hawaii",earthquake,0.74,1.93,0.125,5,reviewed,hv,hv
2020-02-04T08:33:21.600Z,17.9513,-66.7271,6,2.81,md,11,206,0.1516,0.07,pr,pr2020035018,2020-02-04T16:36:05.863Z,"4km SSW of Tallaboa, Puerto Rico",earthquake,0.92,0.37,0.41,4,reviewed,pr,pr
2020-02-04T22:20:28.640Z,17.8375,-66.8688,7,2.81,md,12,239,0.138,0.14,pr,pr2020035048,2020-02-05T06:23:22.745Z,"25km SSE of Guanica, Puerto Rico",earthquake,0.93,1.56,0.35,8,reviewed,pr,pr
2020-02-05T14:01:28.530Z,17.8996,-66.8613,7,2.81,md,12,223,0.0776,0.19,pr,pr2020036031,2020-02-05T22:04:03.663Z,"9km SSE of Guanica, Puerto Rico",earthquake,0.81,0.49,0.38,5,reviewed,pr,pr
2020-02-05T18:40:38.650Z,19.0925,-67.5148,7,2.81,md,11,201,0.7089,0.7,pr,pr2020036042,2020-02-06T15:25:13.040Z,"83km NW of San Antonio, Puerto Rico",earthquake,3.7,31.61,0.29,8,reviewed,pr,pr
2020-02-06T01:15:07.120Z,18.9955006,-155.3744965,28.06,2.81,ml,13,275,0.3363,0.38,hv,hv71371577,2020-02-06T05:23:49.467Z,"25km SSE of Pahala, Hawaii",earthquake,2.78,5.41,3.8,6,automatic,hv,hv
2020-02-05T02:51:11.520Z,17.8381,-66.8536,11,2.82,md,12,238,0.1394,0.13,pr,pr2020036011,2020-02-05T10:53:41.478Z,"22km SSE of Guanica, Puerto Rico",earthquake,0.88,0.63,0.36,8,reviewed,pr,pr
2020-02-06T13:59:46.030Z,17.8351,-66.8683,10,2.82,md,9,257,0.1404,0.11,pr,pr2020037019,2020-02-06T22:02:13.204Z,"20km SSE of Guanica, Puerto Rico",earthquake,0.83,0.6,0.33,5,reviewed,pr,pr
2020-02-07T08:33:55.630Z,17.9096,-66.6723,7,2.82,md,11,211,0.1487,0.15,pr,pr2020038008,2020-02-07T09:18:11.566Z,"10km SSE of Tallaboa, Puerto Rico",earthquake,0.65,0.42,0.33,6,reviewed,pr,pr
2020-02-08T18:57:27.310Z,35.5303333,-117.3765,6.56,2.82,ml,32,72,0.01114,0.17,ci,ci39296600,2020-02-08T20:27:52.040Z,"26km S of Trona, CA",earthquake,0.29,0.59,0.132,25,automatic,ci,ci
2020-02-08T23:50:44.910Z,18.0173,-66.798,17,2.82,ml,12,160,0.0915,0.15,pr,pr2020039052,2020-02-09T00:12:03.456Z,"0km WSW of Guayanilla, Puerto Rico",earthquake,0.9,0.74,0,0,reviewed,pr,pr
2020-02-05T16:53:29.810Z,17.8963,-66.8698,12,2.83,md,12,224,0.0794,0.19,pr,pr2020036035,2020-02-05T23:44:20.040Z,"15km SE of Guanica, Puerto Rico",earthquake,1.05,0.55,0.34,6,reviewed,pr,pr
2020-02-06T17:04:10.660Z,17.7958,-66.7866,4,2.83,md,11,237,0.2018,0.47,pr,pr2020037025,2020-02-07T01:06:40.619Z,"22km S of Indios, Puerto Rico",earthquake,1.67,1.42,0.25,8,reviewed,pr,pr
